SMILES,N,TTR binding activity,UNIT {TTR binding activity}
OC(=O)CC1=C2C=CC=CC2=CC=C1,52,63,% 
OC1=CC=CC2=CC=CC=C12,53,90.3,% 
CCCCCCCCO,55,35.1,% 
CCCCCC(O)C=C,56,14.7,% 
CCCCCCCCN1CCCC1=O,57,19.5,% 
CC(O)COC1=CC=CC=C1,59,9.9,% 
O=C1C=CC(=O)N1C1=CC=CC=C1,60,55,% 
NC(=O)NC1=CC=CC=C1,62,11.8,% 
CCCOCC(C)O,65,6.4,% 
CCCCCCCCCCCCC=C,67,9.6,% 
CCCCCCCCCCCCCO,68,46.3,% 
CC(C1=CC=C(C)C(C)=C1)C1=CC=C(C)C(C)=C1,69,41.1,% 
C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,72,10.6,% 
CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,73,3.3,% 
C1=CC2=C(N=C1)C1=C(C=CC=N1)C=C2,74,46.1,% 
O=CC1=CC=CC=C1C=O,75,98,% 
CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,76,-5.7,% 
CCCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OC[C@H](CCC)[C@@H](CC)CCC,77,6.1,% 
OC1=C(O)C=CC=C1,78,34.4,% 
BrCCBr,79,13.4,% 
FC(F)(F)C1=CC=C(Cl)C(Cl)=C1,80,8.3,% 
ClC1=C(Cl)C=CC=C1,81,20.8,% 
CC1=CC=CC(=C1C)[N+]([O-])=O,82,56,% 
[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O,84,60.9,% 
C(COC1=CC=CC=C1)OC1=CC=CC=C1,85,23.4,% 
O=C(CC1=CC=CC=C1)C1=CC=CC=C1,86,63.1,% 
I.I.NCCN,88,13.4,% 
CCCCOC(O)CC,90,10.2,% 
CC(O)CO,91,-6.8,% 
O=C1NC(=O)C2CC=CCC12,94,5.3,% 
ClC1=CC(Cl)=C(Cl)C=C1,95,7.5,% 
CC1=CC(C)=C(C)C=C1,96,17.8,% 
ClC1=CC(Cl)=C(Cl)C=C1Cl,97,1.5,% 
CC1=CC(C)=C(C)C=C1C,98,14.1,% 
ClC(=O)C1=CC(=CC=C1)C(Cl)=O,99,36.8,% 
CC(O)CCO,102,-5.8,% 
C1C=CC=C1,103,10.9,% 
Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1,106,8.2,% 
ClC1=CC(Cl)=CC=C1,107,6.5,% 
[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,111,11.1,% 
O=C(CC(=O)C1=CC=CC=C1)C1=CC=CC=C1,112,71.3,% 
CCN1CN(CC)CN(CC)C1,114,0.2,% 
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,115,-31.8,% 
C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C,116,99.7,% 
NC1=CC=C(N)C=C1,117,108.1,% 
OC(=O)C1CCC(CC1)C(O)=O,119,20.8,% 
NC1=CC=C(N)C2=C1C(=O)C1=CC=CC=C1C2=O,120,69.5,% 
ClC1=CC=C(Cl)C=C1,121,-12.7,% 
CC1=CC=C(C)C2=C1C=CC=C2,122,55,% 
C1C\C=C\CC\C=C\CC\C=C\1,123,10.5,% 
NCCCCCCN,124,-5.1,% 
CC12CCC(CC1)C(C)(C)O2,125,12.9,% 
OC(=O)CCCCCCCCC=C,126,92.6,% 
CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,127,29,% 
C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@H]2O,128,46.8,% 
C[C@]12CCC3C(CCC4=C3C=CC(O)=C4)C1CC[C@@]2(O)C#C,129,87.9,% 
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,130,13.9,% 
C[C@]12CCC3C(CCC4=CC(O)=CC=C34)C1CC[C@@H]2O,131,55.8,% 
CCCCOCCOCCO,133,8.7,% 
CC1=C(OCC(O)=O)C=CC(Cl)=C1,138,79.4,% 
CCNCCO,141,5.4,% 
CC(OC1=CC(Cl)=CC=C1)C(O)=O,143,38.8,% 
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,144,56.8,% 
CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,145,9.4,% 
CCOCCOCCOCCO,149,6.6,% 
COCCOCCOCCO,150,6.1,% 
OC1=CC=C(C=C1)C(=O)CBr,154,104.3,% 
CCC(C)=NO,155,-0.8,% 
CCCCOCCOC(C)=O,156,8.3,% 
OCC#CCO,158,11.1,% 
OC1=C(Cl)C=C(C=C1)C1=CC=CC=C1,159,105.7,% 
ClCC=O,161,8.7,% 
ClCC(=O)C1=CC=CC=C1,162,26,% 
OCCCl,163,10.2,% 
CCCCC(CC)CO,165,8.6,% 
CCCC(O)C(CC)CO,166,5.3,% 
CCC\C=C(\CC)C=O,167,23.2,% 
CCC1=CC=CC(C)=C1N,168,30.3,% 
CCCCC(CC)C(O)=O,170,-8.2,% 
CCCCC(CC)COC(C)=O,172,10.1,% 
CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,174,53.1,% 
CCCCC(CC)COC(=O)CS,176,58.7,% 
CCC1=C(O)C=CC=C1,178,68.1,% 
CCCCCC(C)=O,180,13.4,% 
COC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,183,98.3,% 
CC(=O)C1=CC=CC=C1O,184,19.1,% 
OCCOC(=O)C=C,186,17.1,% 
CCCCCCCCSCCO,187,75,% 
SC1=NC2=C(S1)C=CC=C2,189,101,% 
COC1=CC=C(C)C=C1N,191,37.4,% 
COCCO,192,23.3,% 
COC1=C(O)C=CC=C1,193,52.3,% 
CC(O)CC(C)(C)O,194,13.1,% 
CC1=C(N)C=CC=C1,195,30.1,% 
Cl.CC1=CC=CC=C1N,196,39,% 
CCC(C)COC(=O)CC(C)C,197,1.6,% 
CC(CCC#N)C#N,198,0.2,% 
CC(C)C#N,199,4.9,% 
NC1=CC=CC=C1[N+]([O-])=O,200,95.2,% 
CCCCCCCCCCC(CO)CCCCCCCC,204,14,% 
CCCC(C)=O,205,11.9,% 
OCCOC1=CC=CC=C1,206,3.3,% 
OCCC1=CC=CC=C1,207,7.4,% 
O=C(OCCC1=CC=CC=C1)C1=CC=CC=C1,208,91.9,% 
OC1=C(C=CC=C1)C1=CC=CC=C1,209,91.7,% 
CCCOCCO,210,3,% 
O=C1CCCN1,212,13.1,% 
CCC(C)C1CCCCC1=O,213,9.9,% 
CCC1=CC(=C(O)C=C1)C(C)(C)C,214,87.9,% 
CC1=CC(O)=C(C=C1)C(C)(C)C,215,66.2,% 
CCCCCCCCCC(C)=O,217,15.8,% 
NC(=O)C(Br)(Br)C#N,218,25.8,% 
OC1=C(CC2=C(O)C=CC=C2)C=CC=C1,223,100.9,% 
CC1=CC(CC2=CC(C)=CC(=C2O)C(C)(C)C)=C(O)C(=C1)C(C)(C)C,224,52.3,% 
CCC1=CC(CC2=C(O)C(=CC(CC)=C2)C(C)(C)C)=C(O)C(=C1)C(C)(C)C,225,39.3,% 
CC(C)(C1=CC(Cl)=C(O)C(Cl)=C1)C1=CC(Cl)=C(O)C(Cl)=C1,226,105.2,% 
CC1=C(C)C(O)=CC=C1,229,67.6,% 
CC1=CC=CC(=C1[N+]([O-])=O)[N+]([O-])=O,230,58,% 
CC(C)(C1=CC=CC=C1)C1=CC(=C(O)C=C1)C(C)(C)C1=CC=CC=C1,232,97.6,% 
CC(C)NC1=NC(NC(C)C)=NC(Cl)=N1,233,30.1,% 
[Na+].[O-]C(=O)COC1=C(Cl)C=C(Cl)C=C1,235,90.5,% 
CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,236,71.8,% 
OC(=O)COC1=C(Cl)C=C(Cl)C=C1,240,86.7,% 
OC(=O)CCCOC1=CC=C(Cl)C=C1Cl,241,99.4,% 
OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,242,107,% 
OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,244,108.4,% 
CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,245,74.7,% 
OC1=C(Cl)C=C(Cl)C(Cl)=C1,246,103.4,% 
OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1,247,97.1,% 
OC1=C(Br)C=C(Br)C=C1Br,248,105,% 
OC1=C(Cl)C=C(Cl)C=C1Cl,249,100,% 
CC1=CC(C)=C(C(O)=O)C(C)=C1,250,35.7,% 
CC1=CC(C)=C(O)C(C)=C1,251,81.7,% 
C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,252,29.3,% 
OC1=CC(Cl)=CC=C1Cl,254,105,% 
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,255,10,% 
CC(C)(C)C1=CC=CC(=C1O)C(C)(C)C,258,30,% 
ClC1=CC=CC(Cl)=C1C#N,259,77.7,% 
CCC1=CC=CC(CC)=C1N,260,16.2,% 
CN(C)CCCN,270,11.3,% 
CCO[Si](CCCN)(OCC)OCC,273,-19.3,% 
CCC1=CC=CC(O)=C1,278,59.3,% 
OC1=CC2=C(CC3=CC=CC=C23)C=C1,279,85.3,% 
CC(C)C1=CC=CC(O)=C1,281,78.9,% 
CC(C)CCOC(C)=O,283,-18.7,% 
CC1=CC(=CC=C1)[N+]([O-])=O,285,30.1,% 
COCCOCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,287,33.6,% 
OC(=O)C1=CC(OC2=CC=CC=C2)=CC=C1,289,98.8,% 
CCCC(CC)C1=CC=CC=C1,291,8.8,% 
N#CC1=CN=CC=C1,292,5.5,% 
CC(C)(C)C1=CC=CC(O)=C1,293,81.7,% 
CC1CC(O)CC(C)(C)C1,294,9.8,% 
CC1CC(CC(C)(C)C1)OC(=O)C1=C(O)C=CC=C1,295,68.6,% 
CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1,296,105.7,% 
Cl.Cl.CC1=C(N)C=CC(=C1)C1=CC(C)=C(N)C=C1,297,107.7,% 
CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C1=CC(Br)=C(O)C(Br)=C1,298,105.8,% 
C1COC=CC1,301,12.7,% 
NC1=CC(Cl)=CC(Cl)=C1,303,93.5,% 
CC(CCO)CC(C)(C)C,306,28.5,% 
CCCCOCCOCCOCCOCCO,308,5.2,% 
CC(C)=CCCC(C)=CC=O,309,33.5,% 
CCC(C)(O)CCCC(C)C,310,11.3,% 
CCC(C)(CCCC(C)C)OC(C)=O,311,9.6,% 
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,312,2,% 
CC(C)(C)C1=CC=C(O)C=C1,313,67.1,% 
CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,314,94.7,% 
CCC(C)(C)C1=CC=C(O)C=C1,316,91.2,% 
CC(=O)\C=C\C1=C(C)CCCC1(C)C,318,19.8,% 
ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1,319,22.8,% 
CCC(C)C1=CC=C(O)C=C1,320,97.5,% 
CCC(C)(C)C1CCC(=O)CC1,322,19.8,% 
NN1C=NN=C1,323,4.6,% 
NC1=CC=C(C=C1)C(O)=O,324,-5.9,% 
CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1,326,94.6,% 
CCCCC1=CC=C(Cl)C=C1,329,15.3,% 
CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N,333,103.3,% 
[H]OC1=C([H])C(=C(Cl)C([H])=C1[H])C([H])([H])[H],335,85.8,% 
ClC1=CC=C(C=C1)C(Cl)(Cl)Cl,338,98.8,% 
OC1=CC=C(Cl)C=C1,340,55.3,% 
OC(=O)COC1=CC=C(Cl)C=C1,341,34.8,% 
NC(=O)NC1=CC=C(Cl)C=C1,342,19,% 
CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1,343,103.1,% 
O=C1CCC(CC1)C1CCCCC1,345,53.6,% 
CCCCCCCCCCCCN1CCOCC1,346,38.8,% 
CCCCCCCCCCCCC1=CC=C(O)C=C1,347,100.3,% 
CCOC1=CC=C(N)C=C1,348,7.8,% 
CCC1COC(=O)O1,349,15.2,% 
CCCCCCOC1=CC=C(N)C=C1,354,94.7,% 
CC(=O)C1=CC=C(O)C=C1,356,36.7,% 
OC(=O)C1=CC=C(O)C=C1,357,84.3,% 
CC(C)C1=CC=C(O)C=C1,359,73.2,% 
COC1=CC=C(C=O)C=C1,360,25,% 
CC(C)CC(C)O,362,12,% 
CC(C)=CC(C)=O,365,34.8,% 
CC1=CC=C(C=C)C=C1,366,13,% 
OC(=O)C1=CC=C(C=C1)[N+]([O-])=O,369,29.1,% 
OC1=CC=C(C=C1)[N+]([O-])=O,370,103,% 
O=NC1=CC=C(NC2=CC=CC=C2)C=C1,371,108.9,% 
CC1=CC=C(C=C1)[N+]([O-])=O,372,18,% 
CCCCCCCCCC1=CC=C(O)C=C1,373,89.2,% 
CC(C)CCCCCCC1=CC=C(O)C=C1,374,104.2,% 
CCCCCCCCC1=CC=C(O)C=C1,375,102.5,% 
CCCCCC1=CC=C(N)C=C1,376,89.4,% 
OC1=CC=C(C=C1)C1=CC=CC=C1,377,100.9,% 
CCCC1CCC(=O)CC1,380,34.9,% 
CC(C)(C)C1=CC=C(N)C=C1,382,26.7,% 
CC(C)(C)C1=CC=C(S)C=C1,383,37.9,% 
CC(C)(C)C1CCC(=O)CC1,385,7.2,% 
CC(C)(C)C1=CC=C(OC(=O)C2=C(O)C=CC=C2)C=C1,386,45.7,% 
CC1=CC=C(C=C1)C(C)(C)C,387,8.8,% 
CC1=CC=C(C=C1)S(N)(=O)=O,389,12.8,% 
C1OC1C1CCC2OC2C1,390,8.2,% 
CC(CCC(O)=O)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,391,43.3,% 
CC(C)(C)C1=CC=C(C=C1)C1=CC=C(C=C1)C(C)(C)C,394,6.1,% 
NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,395,75.3,% 
C1CN(CCO1)SSN1CCOCC1,397,80.8,% 
CN(C)C1=CC=C(CC2=CC=C(C=C2)N(C)C)C=C1,400,46.2,% 
CC1=C(N)C=CC(CC2=CC(C)=C(N)C=C2)=C1,401,96.5,% 
NC1=CC=C(OC2=CC=C(N)C=C2)C=C1,402,90,% 
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,404,87.7,% 
CC(C1=CC=C(O)C=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,405,100.2,% 
ClC1=C(Cl)C(=O)SS1,407,106.6,% 
CC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,409,109.9,% 
CCC1(C)NC(=O)NC1=O,412,10.6,% 
FC1=CNC(=O)NC1=O,414,14.1,% 
COC1=C(N)C=C(C=C1)[N+]([O-])=O,417,69,% 
CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,418,3,% 
CC1(C)NC(=O)NC1=O,419,9.7,% 
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,420,24.1,% 
C[C@]12CCC3C(CCC4CC(=O)CC[C@]34C)C1CC[C@@H]2O,421,20.9,% 
OC1=CC2=CC=C(SSC3=CC4=CC=C(O)C=C4C=C3)C=C2C=C1,422,100.1,% 
CC1=CC(=O)NC(=S)N1,423,16.6,% 
CC1=CC2=CC=CN=C2C=C1,424,43.1,% 
[Na+].CCCCC(CC)CCC(CC(C)C)OS([O-])(=O)=O,427,103,% 
[K+].CC1=CC(=O)[N-]S(=O)(=O)O1,429,24,% 
CC(=O)NC1=CC=C(O)C=C1,431,-15.9,% 
[Na+].CC1=C(OCC([O-])=O)C=CC(Cl)=C1,434,85.1,% 
CCC(CC)C(C)CCOC(C)=O,435,12.3,% 
CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C,436,51.4,% 
CC(=O)C1=CC=CC=C1,437,19.5,% 
C[C@@H]1CCC2C(C)(C)C3C[C@@]12CC(C(C)=O)=C3C,439,17.7,% 
CSC(=O)C1=CC=CC2=C1SN=N2,440,72.2,% 
[Na+].NC1=C(\N=N\C2=CC=CC=C2C(F)(F)F)C2=C(O)C=C(C=C2C=C1)S([O-])(=O)=O,441,103.1,% 
OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,442,102.9,% 
NC(=O)C=C,443,12.4,% 
CCCCCCCCCCCC(=O)OCC(C)OC(=O)CCCCC(O)=O,445,34.3,% 
CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl,446,39.7,% 
CSC(C)(C)C=NO,448,10.1,% 
CNC(=O)O\N=C\C(C)(C)S(C)(=O)=O,449,7.8,% 
CNC(=O)O\N=C\C(C)(C)S(C)=O,450,-5.7,% 
ClC1=C(Cl)[C@]2(Cl)C3C4CC(C=C4)C3[C@@]1(Cl)C2(Cl)Cl,451,-15,% 
CCCCCCCCCCCCOCC1CO1,452,57.7,% 
NC(=O)NC1NC(=O)NC1=O,453,9.5,% 
[Na+].[Na+].COC1=C(C=C(C)C(=C1)S([O-])(=O)=O)\N=N\C1=C(O)C=CC2=C1C=CC(=C2)S([O-])(=O)=O,455,94.8,% 
OCC=C,456,5,% 
CCCCC\C(C=O)=C\C1=CC=CC=C1,458,77.3,% 
CC(=O)\C=C\C1C(C)=CCCC1(C)C,460,46.2,% 
CC(=O)C(C)=CC1C(C)=CCCC1(C)C,461,41.3,% 
[Na+].CCCCCCCCCCCCOCCOS([O-])(=O)=O,463,98.4,% 
CCCC(=O)OC(C)(C)CC1=CC=CC=C1,465,29.9,% 
CCNC1=NC(SC)=NC(NC(C)C)=N1,466,62.1,% 
Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,468,48.4,% 
CN(\C=N\C1=C(C)C=C(C)C=C1)\C=N\C1=C(C)C=C(C)C=C1,469,54.1,% 
[NH4+].NC([O-])=O,471,14.7,% 
[NH4+].[S-]C#N,472,11.8,% 
[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,473,104.2,% 
[NH4+].NS([O-])(=O)=O,474,26.1,% 
N.CC1=CC(C)=C(C=C1)S(O)(=O)=O,475,25,% 
CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,476,9.5,% 
CCCCCCC(O)CC=CCCCCCCCC(=O)OCCN(CCOC(=O)CCCCCCCC=CCC(O)CCCCCC)CCOC(=O)CCCCCCCC=CCC(O)CCCCCC,479,60.8,% 
OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O,481,103,% 
CC(=O)OC1=C(C=CC=C1)C(O)=O,484,36.6,% 
COC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,485,5.4,% 
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,486,15.4,% 
[Ca].[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,487,63,% 
CCNC1=NC(NC(C)C)=NC(Cl)=N1,488,6.9,% 
[Na+].[O-]C(=O)C1=CC=C2N(CC3=NOC(=C3)C3=CC=C(Cl)S3)C(=NC2=C1)C(=O)NC1CCN(CC1)C1CC1,490,46.2,% 
COP(=O)(OC)SCN1C(=O)OC2=CC(Cl)=CN=C12,491,34.3,% 
CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,492,86.8,% 
[Cl-].CCNC1=CC=C(C(C2=CC=C(C=C2)N(CC)CC)=C2C=CC(C=C2)=[N+](CC)CC)C2=C1C=CC=C2,495,110.3,% 
CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2,496,24.2,% 
CCCCN(CC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,497,37.5,% 
IC1=C(C=CC=C1)C(=O)NC1=CC=CC=C1,498,73.6,% 
CCCCNC(=O)N1C(NC(=O)OC)=NC2=C1C=CC=C2,499,40.4,% 
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,501,21.5,% 
ClC(Cl)C1=CC=CC=C1,502,12.4,% 
CCOC(=O)C1=CC=C(N)C=C1,504,37.3,% 
OC(=O)C1=CC=CC=C1,505,-17.1,% 
OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,506,57.4,% 
O=C(C1=CC=CC=C1)C1=CC=CC=C1,507,87,% 
ClC(Cl)(Cl)C1=CC=CC=C1,508,62.4,% 
OC1=CC=C(C=C1)C(=O)OCC1=CC=CC=C1,509,103.2,% 
CC(=O)OCC1=CC=CC=C1,510,11.8,% 
OCC1=CC=CC=C1,511,43.3,% 
O=C(OCC1=CC=CC=C1)C1=CC=CC=C1,512,88.2,% 
CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,514,71.1,% 
O=C(OCC1=CC=CC=C1)\C=C\C1=CC=CC=C1,515,75.4,% 
[Cl-].CCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,516,-8.5,% 
CCCCC(CC)COC(=O)CCCCC(=O)OCC1=CC=CC=C1,517,13.5,% 
FC1=CC=C(CC2CCN(CCS(=O)C3=CC=C4NC(=O)OC4=C3)CC2)C=C1,518,-16.3,% 
CC1=C(C=CC=C1COC(=O)[C@@H]1[C@H](\C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1,521,54.8,% 
CC(C)OP(C)(=O)OC(C)C,524,10.9,% 
CCCCC(CC)COC(=O)\C=C/C(=O)OCC(CC)CCCC,526,14.7,% 
CCCCC(CC)COC(=O)C1=C(Br)C(Br)=C(Br)C(Br)=C1C(=O)OCC(CC)CCCC,530,32.4,% 
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,531,-0.4,% 
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,534,96,% 
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,535,31.9,% 
OC1=CC=C(C=C1)C(C1=CC=C(O)C=C1)(C(F)(F)F)C(F)(F)F,536,100.7,% 
CCC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,537,95.2,% 
OB(O)O,538,-4.8,% 
ClC1=CC=C(C=C1)C1=C(NC(=O)C2=C(Cl)N=CC=C2)C=CC=C1,539,29.3,% 
CCC(C)N1C(=O)NC(C)=C(Br)C1=O,540,22.6,% 
OC1=C(Br)C=C(C=C1Br)C#N,542,101.8,% 
CS(=O)(=O)OCCCCOS(C)(=O)=O,546,11.4,% 
CCCCOCN(C(=O)CCl)C1=C(CC)C=CC=C1CC,547,39.2,% 
CN1C(=O)N(C(=O)C=C1C(F)(F)F)C1=CC(C(=O)OC(C)(C)C(=O)OCC=C)=C(Cl)C=C1,548,40.9,% 
CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C,549,10.1,% 
CCCCOC(=O)C=C,554,4.5,% 
CCCCOC(=O)C1=CC=CC=C1,555,17.1,% 
CCCCOCC1CO1,556,5.5,% 
CCSC(=O)N(CC(C)C)CC(C)C,558,13.3,% 
CCCCC1=CC=CC=C1,559,16,% 
[Na+].CCCCC1=CC2=C(C=CC=C2S([O-])(=O)=O)C=C1,560,101.1,% 
CCCCOC(=O)C1=CC=C(O)C=C1,561,100.1,% 
CCCC=NO,563,7.1,% 
[Na+].[Na+].OC1=C(\N=N\C2=CC=CC=C2)C2=C(C=C(C=C2C=C1)S([O-])(=O)=O)S([O-])(=O)=O,565,108.8,% 
[Na+].CC1=NN(C(=O)C1N=NC1=CC=CC=C1)C1=CC=C(C=C1)S([O-])(=O)=O,570,108.3,% 
[Na+].[Na+].CC1=NN(C(=O)C1N=NC1=CC=C(C=C1)S([O-])(=O)=O)C1=CC(Cl)=C(C=C1Cl)S([O-])(=O)=O,571,102.2,% 
[Na+].[Na+].[O-]S(=O)(=O)C1=CC(=C2N=C(C=CC2=C1)C1C(=O)C2=CC=CC=C2C1=O)S([O-])(=O)=O,573,97.3,% 
[Na+].CC1=NN(C(=O)C1\N=N\C1=CC=CC=C1)C1=CC(=CC=C1Cl)S([O-])(=O)=O,574,109.6,% 
CC1=C(N)C=C(C=C1)[N+]([O-])=O,576,80.8,% 
[Na+].[Na+].OC1=C2C=CC(NC(=O)C3=CC=CC=C3)=CC2=CC(=C1\N=N\C1=CC=C(C=C1)\N=N\C1=CC=C(C=C1)S([O-])(=O)=O)S([O-])(=O)=O,577,103.4,% 
COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1,578,102.9,% 
