feature,final_status,dropped_reasons,dropped_stages,coerced_to_nan
c_AATS0are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_AATS3i,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATS3m,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATS3p,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATS3pe,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATS3s,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATS3se,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATS3v,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATS4Z,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS4are,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS4d,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS4dv,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS4i,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS4m,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS4p,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS4pe,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS4s,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS4se,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS4v,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATS5Z,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS5are,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS5d,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS5dv,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS5i,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS5m,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS5p,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS5pe,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS5s,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS5se,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS5v,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATS6Z,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS6are,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS6d,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS6dv,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS6i,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS6m,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS6p,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS6pe,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS6s,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS6se,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS6v,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATS7Z,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS7are,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS7d,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS7dv,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS7i,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS7m,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS7p,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS7pe,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS7s,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS7se,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS7v,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATS8Z,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATS8are,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATS8d,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATS8dv,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATS8i,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATS8m,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATS8p,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATS8pe,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATS8s,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATS8se,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATS8v,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC0are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_AATSC0c,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_AATSC0s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC0se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_AATSC1Z,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC1are,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC1c,dropped,has_nan,nan_drop,nan_count=9; coerced_to_nan=0
c_AATSC1d,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC1dv,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC1i,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC1m,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC1p,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC1pe,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC1s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC1se,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC1v,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AATSC2Z,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC2are,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC2c,dropped,has_nan,nan_drop,nan_count=9; coerced_to_nan=0
c_AATSC2d,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC2dv,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC2i,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC2m,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC2p,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC2pe,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC2s,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC2se,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC2v,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_AATSC3Z,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC3are,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC3c,dropped,has_nan,nan_drop,nan_count=12; coerced_to_nan=0
c_AATSC3d,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC3dv,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC3i,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC3m,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC3p,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC3pe,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC3s,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC3se,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC3v,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_AATSC4Z,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC4are,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC4c,dropped,has_nan,nan_drop,nan_count=19; coerced_to_nan=0
c_AATSC4d,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC4dv,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC4i,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC4m,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC4p,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC4pe,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC4s,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC4se,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC4v,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_AATSC5Z,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC5are,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC5c,dropped,has_nan,nan_drop,nan_count=55; coerced_to_nan=0
c_AATSC5d,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC5dv,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC5i,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC5m,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC5p,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC5pe,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC5s,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC5se,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC5v,dropped,has_nan,nan_drop,nan_count=52; coerced_to_nan=0
c_AATSC6Z,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC6are,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC6c,dropped,has_nan,nan_drop,nan_count=102; coerced_to_nan=0
c_AATSC6d,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC6dv,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC6i,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC6m,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC6p,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC6pe,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC6s,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC6se,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC6v,dropped,has_nan,nan_drop,nan_count=99; coerced_to_nan=0
c_AATSC7Z,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC7are,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC7c,dropped,has_nan,nan_drop,nan_count=210; coerced_to_nan=0
c_AATSC7d,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC7dv,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC7i,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC7m,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC7p,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC7pe,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC7s,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC7se,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC7v,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AATSC8Z,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC8are,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC8c,dropped,has_nan,nan_drop,nan_count=311; coerced_to_nan=0
c_AATSC8d,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC8dv,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC8i,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC8m,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC8p,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC8pe,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC8s,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC8se,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AATSC8v,dropped,has_nan,nan_drop,nan_count=309; coerced_to_nan=0
c_AETA_eta_B,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AETA_eta_BR,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATS0are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS0s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATS0se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS1are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS1s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATS1se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS2are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS2s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATS2se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS3are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS3s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATS3se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS4are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS4s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATS4se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS5are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS5s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATS5se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS6are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS6s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATS6se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS7are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS7s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATS7se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS8are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATS8s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATS8se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC0are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC0c,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_ATSC0s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATSC0se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC1are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC1c,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_ATSC1s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATSC1se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC2are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC2c,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_ATSC2s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATSC2se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC3are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC3c,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_ATSC3s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATSC3se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC4are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC4c,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_ATSC4s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATSC4se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC5are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC5c,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_ATSC5s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATSC5se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC6are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC6c,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_ATSC6s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATSC6se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC7are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC7c,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_ATSC7s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATSC7se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC8are,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_ATSC8c,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_ATSC8s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ATSC8se,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_AXp-0d,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AXp-0dv,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_AXp-1d,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AXp-1dv,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_AXp-2d,dropped,has_nan,nan_drop,nan_count=5; coerced_to_nan=0
c_AXp-2dv,dropped,has_nan,nan_drop,nan_count=5; coerced_to_nan=0
c_AXp-3d,dropped,has_nan,nan_drop,nan_count=25; coerced_to_nan=0
c_AXp-3dv,dropped,has_nan,nan_drop,nan_count=25; coerced_to_nan=0
c_AXp-4d,dropped,has_nan,nan_drop,nan_count=60; coerced_to_nan=0
c_AXp-4dv,dropped,has_nan,nan_drop,nan_count=60; coerced_to_nan=0
c_AXp-5d,dropped,has_nan,nan_drop,nan_count=93; coerced_to_nan=0
c_AXp-5dv,dropped,has_nan,nan_drop,nan_count=93; coerced_to_nan=0
c_AXp-6d,dropped,has_nan,nan_drop,nan_count=122; coerced_to_nan=0
c_AXp-6dv,dropped,has_nan,nan_drop,nan_count=122; coerced_to_nan=0
c_AXp-7d,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_AXp-7dv,dropped,has_nan,nan_drop,nan_count=208; coerced_to_nan=0
c_BCUTare-1h,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_BCUTare-1l,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_BCUTc-1h,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_BCUTc-1l,dropped,has_nan,nan_drop,nan_count=6; coerced_to_nan=0
c_BCUTs-1h,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_BCUTs-1l,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_BCUTse-1h,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_BCUTse-1l,dropped,has_nan,nan_drop,nan_count=1; coerced_to_nan=0
c_BIC0,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_BIC1,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_BIC2,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_BIC3,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_BIC4,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_BIC5,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_DetourIndex,dropped,has_nan,nan_drop,nan_count=1211; coerced_to_nan=0
c_ETA_eta_B,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_ETA_eta_BR,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_GATS1Z,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_GATS1are,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_GATS1c,dropped,has_nan,nan_drop,nan_count=9; coerced_to_nan=0
c_GATS1d,dropped,has_nan,nan_drop,nan_count=5; coerced_to_nan=0
c_GATS1dv,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_GATS1i,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_GATS1m,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_GATS1p,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_GATS1pe,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_GATS1s,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_GATS1se,dropped,has_nan,nan_drop,nan_count=3; coerced_to_nan=0
c_GATS1v,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_GATS2Z,dropped,has_nan,nan_drop,nan_count=5; coerced_to_nan=0
c_GATS2are,dropped,has_nan,nan_drop,nan_count=5; coerced_to_nan=0
c_GATS2c,dropped,has_nan,nan_drop,nan_count=9; coerced_to_nan=0
c_GATS2d,dropped,has_nan,nan_drop,nan_count=5; coerced_to_nan=0
c_GATS2dv,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_GATS2i,dropped,has_nan,nan_drop,nan_count=5; coerced_to_nan=0
c_GATS2m,dropped,has_nan,nan_drop,nan_count=5; coerced_to_nan=0
c_GATS2p,dropped,has_nan,nan_drop,nan_count=5; coerced_to_nan=0
c_GATS2pe,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_GATS2s,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_GATS2se,dropped,has_nan,nan_drop,nan_count=4; coerced_to_nan=0
c_GATS2v,dropped,has_nan,nan_drop,nan_count=5; coerced_to_nan=0
c_GATS3Z,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS3are,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS3c,dropped,has_nan,nan_drop,nan_count=12; coerced_to_nan=0
c_GATS3d,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS3dv,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS3i,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS3m,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS3p,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS3pe,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS3s,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS3se,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS3v,dropped,has_nan,nan_drop,nan_count=7; coerced_to_nan=0
c_GATS4Z,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_GATS4are,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_GATS4c,dropped,has_nan,nan_drop,nan_count=19; coerced_to_nan=0
c_GATS4d,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_GATS4dv,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_GATS4i,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
c_GATS4m,dropped,has_nan,nan_drop,nan_count=14; coerced_to_nan=0
